material_id,formula_pretty,symmetry.crystal_system,symmetry.number,bulk_modulus.vrh,shear_modulus.vrh,youngs_modulus_vrh
mp-oa,AlRh,Cubic,221,194.408,98.81,253.48456282238132
mp-oi,VPt3,Cubic,221,237.489,109.303,284.2940743796926
mp-ol,UO3,Cubic,221,153.034,63.703,167.82265685676305
mp-om,PrSn3,Cubic,221,56.073,17.281,47.013356425876005
mp-on,LuRh,Cubic,221,122.628,52.59,138.03721200359595
mp-or,SiRu,Cubic,221,257.369,93.152,249.37034320590712
mp-pi,ErGa3,Cubic,221,73.646,44.73,111.5966929400605
mp-qb,MnRh,Cubic,221,183.708,85.073,221.09081959833193
mp-qd,YbB6,Cubic,221,154.194,90.805,227.7145569556206
mp-qt,ThSn3,Cubic,221,68.417,30.84,80.4343347268638
mp-qu,SmRh,Cubic,221,101.019,26.534,73.19357419953822
mp-qv,MgAu,Cubic,221,81.405,25.035,68.12169944289693
mp-rs,PrZn,Cubic,221,50.277,26.844,68.36483518784297
mp-sn,ScPt3,Cubic,221,198.156,89.795,234.0339345836323
mp-tb,LuGa3,Cubic,221,68.978,43.84,108.5278365380781
mp-uh,BaCd,Cubic,221,19.668,12.119,30.161950817597685
mp-up,Fe4N,Cubic,221,193.027,56.748,155.04965291611424
mp-uw,SrHg,Cubic,221,27.259,14.296,36.506114891801026
mp-bewqb,AlRu,Cubic,221,203.483,107.621,274.4737915342515
mp-bfqvy,YF3,Cubic,221,100.271,49.604,127.74661091214182
mp-vn,YPd3,Cubic,221,124.541,48.346,128.42064861162785
mp-bggxd,YbRh,Cubic,221,81.33,33.51,88.39032324324324
mp-bggye,YbRu,Cubic,221,73.949,24.812,66.94831038802558
mp-bghle,NdGa3,Cubic,221,68.84,39.27,98.9874331746613
mp-bghqj,DyAl3,Cubic,221,75.98,59.228,141.03692249832852
mp-bgisl,DyB6,Cubic,221,171.865,85.681,220.41472732156276
mp-bgjhh,YbIr,Cubic,221,98.022,35.115,94.1074447492413
mp-bgjhn,VPd3,Cubic,221,175.556,81.744,212.2835298712057
mp-bgjxg,NdPt3,Cubic,221,155.153,60.691,161.0710187342013
mp-bgkpl,PmMg,Cubic,221,40.401,20.482,52.56335912764231
mp-bgkwl,ZrAl3,Cubic,221,102.592,59.186,148.92029967135562
mp-bgkwv,TlPd3,Cubic,221,132.434,24.612,69.52883874912897
mp-bglfu,Ce3Pb,Cubic,221,47.518,28.668,71.60419932018081
mp-bglps,ZrZn,Cubic,221,106.664,46.251,121.23057635504296
mp-bgluv,PrAl3,Cubic,221,67.033,50.75,121.57015811061392
mp-bgmfr,Ti3Sn,Cubic,221,114.12,37.008,100.19341810590244
mp-bgmfy,V3Au,Cubic,221,177.227,45.456,125.62749331267966
mp-bgmnj,KBr,Cubic,221,15.624,7.04,18.36208339516249
mp-bgmyu,Pr3Sn,Cubic,221,45.876,24.736,62.9024822251238
mp-bgnfc,TmB6,Cubic,221,174.157,71.283,188.17540745662345
mp-bgnhd,NdTl,Cubic,221,51.435,17.104,46.19184616910431
mp-bgnkl,HoB6,Cubic,221,173.233,80.601,209.33662718140926
mp-wa,SmCd,Cubic,221,51.061,18.597,49.751034771219004
mp-bhaiu,EuCd,Cubic,221,24.939,14.968,37.4180828423456
mp-bhakt,Zr3Cu,Cubic,221,111.07,20.3,57.40287120590648
mp-bhanl,Cu3Pd,Cubic,221,149.816,48.551,131.4529738895058
mp-wu,TiRu,Cubic,221,215.387,108.631,278.98990287787893
mp-xk,TiCo3,Cubic,221,142.93,94.374,232.04938103539237
mp-xr,YMg,Cubic,221,41.771,20.773,53.457421292937035
mp-bjzjz,CsH,Cubic,221,11.732,7.858,19.271391833511405
mp-yj,LaSn3,Cubic,221,56.392,23.894,62.81076310146578
mp-yl,ScRh3,Cubic,221,185.005,84.21,219.3491172122492
mp-bkfie,TiPd3,Cubic,221,179.376,88.699,228.4430096597626
mp-yw,PrCd,Cubic,221,47.806,19.44,51.3584703238404
mp-yz,FePt3,Cubic,221,263.838,110.344,290.52962045909663
mp-bmhda,GeTe,Cubic,221,46.694,3.555,10.40104241943232
mp-zy,LaPd3,Cubic,221,109.965,45.919,120.92509995636141
mp-bar,Pr3Tl,Cubic,221,40.884,15.285,40.77374062071816
mp-kgw,ZnRh,Cubic,221,171.239,74.335,194.81518570636607
mp-kjc,SmB6,Cubic,221,174.855,106.824,266.25170010880777
mp-bbk,YCu,Cubic,221,70.25,31.833,82.96712568481715
mp-koh,PrTe,Cubic,221,58.128,35.887,89.28647233332224
mp-bbq,SnPd3,Cubic,221,145.871,54.511,145.41897312262765
mp-bbt,TbCd,Cubic,221,54.797,22.082,58.401195808508476
mp-bqzia,TiO,Cubic,221,208.643,46.453,129.7310747625606
mp-bdo,TmAl3,Cubic,221,77.938,59.643,142.56298267207802
mp-lmf,MgPd3,Cubic,221,128.765,41.213,111.71984502044404
mp-bdw,LaCd,Cubic,221,45.631,17.494,46.535125535181066
mp-bek,LuPt3,Cubic,221,182.998,79.492,208.3131416515245
mp-ber,DyPd3,Cubic,221,127.136,48.329,128.68149983827317
mp-lxf,AlF3,Cubic,221,124.366,76.51,190.47077440792873
mp-lzq,W3N4,Cubic,221,344.254,70.766,198.68395462190355
mp-bfl,TmTl3,Cubic,221,46.269,17.128,45.739948619617145
mp-bfr,TiCo,Cubic,221,351.113,68.061,191.79054488764046
mp-bfw,SiNi3,Cubic,221,209.083,104.05,267.73696579648
mp-bfx,AlPd,Cubic,221,155.221,52.682,141.98299298343767
mp-bga,HoPd,Cubic,221,94.522,35.725,95.18334700946785
mp-bge,TbZn,Cubic,221,57.624,23.228,61.42994619071902
mp-mne,KF,Cubic,221,33.925,14.164,37.30085044721794
mp-bgt,ErPd,Cubic,221,95.906,37.403,99.30010384441483
mp-bxbbf,LiPt3,Cubic,221,182.434,85.615,222.10144804137033
mp-bxbbk,LiPd3,Cubic,221,120.749,37.805,102.69725811894455
mp-bxbbn,Ac3Sn,Cubic,221,34.933,20.594,51.63519349564968
mp-bxcjk,PaSi3,Cubic,221,122.743,73.385,183.57084579519673
mp-bxckz,Pa3Si,Cubic,221,108.501,59.249,150.37525923451986
mp-bxcla,Pa3Sb,Cubic,221,104.598,62.028,155.37153944154412
mp-bxclb,Pa3Te,Cubic,221,105.402,60.794,152.97157212732097
mp-bxclc,Pa3Ge,Cubic,221,111.033,56.445,144.79832615827738
mp-bxcoo,PmPd3,Cubic,221,117.777,52.142,136.3103215405218
mp-bxdaf,LiGa3,Cubic,221,39.269,19.567,50.33986567327151
mp-bxdsa,HgPd3,Cubic,221,139.163,29.205,81.8867026084971
mp-bxdsr,Ho3In,Cubic,221,50.028,30.054,75.11948399560337
mp-bxdte,AgAu3,Cubic,221,121.457,25.136,70.54170622864287
mp-bxfhi,ZnAg3,Cubic,221,90.519,29.454,79.71575667998844
mp-bhh,CaB6,Cubic,221,146.893,84.87,213.49347099889832
mp-bxgtm,CrPd3,Cubic,221,152.758,66.576,174.39296841383253
mp-bxhby,CaBi3,Cubic,221,45.159,13.126,35.89976855110596
mp-bxhco,CdPt3,Cubic,221,189.833,50.231,138.47887435980186
mp-bxhiw,Ti3Zn,Cubic,221,110.213,52.136,135.10439478022334
mp-bxhjj,AcAg,Cubic,221,43.963,16.405,43.77059850701984
mp-bxhms,AcMg,Cubic,221,30.934,19.546,48.43631997009292
mp-bhj,ErCd,Cubic,221,59.501,29.491,75.92861293595008
mp-bxivl,Pm3Pb,Cubic,221,44.905,22.668,58.209329215989015
mp-bxixs,LaBi3,Cubic,221,53.973,15.364,42.09749692863952
mp-bxjto,TaRu3,Cubic,221,276.055,139.6,358.3881438159057
mp-bhr,AlOs,Cubic,221,236.689,124.889,318.62597872103436
