mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__alpha,param_model__activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
31.866346549987792,5.716704847731016,0.05480213165283203,0.020986529094205453,0.005,"(256, 128)",0.001,relu,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (256, 128), 'model__alpha': 0.001, 'model__activation': 'relu'}",-29.188019112595192,-28.658200723188067,-30.035831411066187,-32.61616550444462,-28.76527174731118,-29.852697699721052,1.4643365813281695,12
111.71406960487366,7.500223960487959,0.05635843276977539,0.018670063907699003,0.001,"(256, 128, 64)",0.01,tanh,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (256, 128, 64), 'model__alpha': 0.01, 'model__activation': 'tanh'}",-27.82898691881401,-28.182223416311242,-29.101110074355912,-31.02525054994205,-26.59716072131067,-28.546946336146778,1.4764309467004082,3
42.69944953918457,4.688838074709663,0.09982047080993653,0.08665080856764318,0.001,"(128, 128)",0.0001,relu,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 128), 'model__alpha': 0.0001, 'model__activation': 'relu'}",-30.630695582971438,-29.288786656652494,-31.981112800257083,-32.882984585213485,-28.316941777690058,-30.62010428055691,1.6763083111358918,17
53.87082767486572,7.230029365789935,0.07154803276062012,0.017588130725725945,0.001,"(256, 128, 64)",0.0001,relu,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (256, 128, 64), 'model__alpha': 0.0001, 'model__activation': 'relu'}",-28.313572623617375,-27.863845406580765,-29.62430480781994,-30.12759903279177,-26.75454335328592,-28.536773044819153,1.215931360501656,2
25.328751277923583,1.5710616156297545,0.06030526161193848,0.011323956729392896,0.005,"(256, 128, 64)",0.001,tanh,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (256, 128, 64), 'model__alpha': 0.001, 'model__activation': 'tanh'}",-30.556803359697184,-29.241336555400515,-28.921946374205486,-30.235794764906654,-27.810481239963067,-29.353272458834578,0.9804191790078399,8
33.28844680786133,2.981608984249003,0.0560722827911377,0.018295830888039433,0.005,"(256, 128)",0.01,relu,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (256, 128), 'model__alpha': 0.01, 'model__activation': 'relu'}",-29.77864582024791,-29.80607343088946,-30.476357754423603,-30.661138609185432,-28.481019054855576,-29.840646933920397,0.7656320619230683,11
14.800550317764282,1.6213999060220632,0.05670332908630371,0.011495362953509749,0.005,"(128, 128)",0.0001,tanh,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (128, 128), 'model__alpha': 0.0001, 'model__activation': 'tanh'}",-30.541949159319934,-29.846107135558928,-30.5527089079,-32.69881842292132,-28.581766733141695,-30.444270071768376,1.3364883866059734,15
32.100569581985475,5.645588626809034,0.0452418327331543,0.014225032351752985,0.005,"(256, 128, 64)",0.0001,relu,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (256, 128, 64), 'model__alpha': 0.0001, 'model__activation': 'relu'}",-28.378739648401787,-27.49750866911419,-29.240313233266942,-30.878771319546797,-26.92990341614408,-28.585047257294757,1.389629282808096,4
36.248559379577635,3.0168675972888153,0.04499740600585937,0.01764433651412175,0.005,"(256, 128, 64)",0.001,relu,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (256, 128, 64), 'model__alpha': 0.001, 'model__activation': 'relu'}",-27.571777635624425,-27.421465508206765,-29.699567872665337,-31.485460928286084,-26.748337805806795,-28.585321950117883,1.7554882346443959,5
13.330216407775879,1.7203804266569782,0.014255714416503907,0.00046211091759762614,0.005,"(128, 128)",0.0001,relu,"{'model__learning_rate_init': 0.005, 'model__hidden_layer_sizes': (128, 128), 'model__alpha': 0.0001, 'model__activation': 'relu'}",-30.8864228723095,-29.644091128342343,-31.190440258184545,-33.24643181351704,-28.81230358282199,-30.755937931035085,1.5114427652471365,18
